iter	Passed	Remaining
0	147	147211
1	149	74728
2	152	50514
3	154	38533
4	156	31231
5	159	26348
6	161	22850
7	163	20235
8	165	18209
9	167	16627
10	169	15278
11	171	14160
12	173	13205
13	175	12380
14	178	11725
15	181	11161
16	183	10637
17	185	10144
18	188	9727
19	190	9337
20	192	8994
21	195	8696
22	197	8408
23	200	8133
24	202	7903
25	205	7696
26	207	7486
27	209	7289
28	212	7107
29	214	6941
30	216	6775
31	219	6627
32	221	6483
33	223	6353
34	226	6238
35	228	6121
36	231	6020
37	233	5914
38	235	5809
39	237	5704
40	239	5606
41	241	5512
42	243	5425
43	246	5345
44	248	5268
45	251	5207
46	253	5147
47	255	5069
48	257	4994
49	258	4919
50	261	4859
51	262	4788
52	264	4717
53	265	4647
54	266	4581
55	268	4521
56	269	4463
57	271	4407
58	272	4347
59	273	4287
60	274	4229
61	275	4173
62	277	4120
63	278	4067
64	279	4015
65	280	3962
66	280	3912
67	281	3860
68	282	3814
69	284	3775
70	285	3732
71	286	3690
72	287	3647
73	288	3605
74	289	3564
75	289	3524
76	290	3485
77	291	3447
78	292	3411
79	293	3376
80	294	3343
81	295	3313
82	296	3281
83	297	3248
84	298	3213
85	299	3181
86	299	3147
87	300	3117
88	301	3088
89	302	3060
90	303	3032
91	304	3005
92	305	2982
93	306	2958
94	308	2934
95	308	2909
96	309	2884
97	310	2859
98	311	2835
99	312	2814
100	313	2791
101	314	2764
102	314	2742
103	315	2720
104	316	2700
105	317	2680
106	319	2663
107	320	2644
108	321	2624
109	322	2605
110	322	2586
111	323	2566
112	324	2549
113	326	2538
114	329	2536
115	330	2519
116	332	2507
117	334	2496
118	335	2482
119	336	2469
120	337	2454
121	338	2438
122	339	2419
123	340	2404
124	341	2388
125	342	2373
126	343	2358
127	343	2341
128	344	2327
129	345	2315
130	346	2301
131	348	2293
132	349	2279
133	350	2266
134	351	2252
135	352	2240
136	354	2230
137	354	2217
138	355	2204
139	356	2191
140	357	2179
141	358	2168
142	359	2156
143	361	2146
144	362	2135
145	363	2124
146	364	2112
147	365	2101
148	365	2089
149	366	2078
150	367	2067
151	368	2056
152	369	2045
153	370	2034
154	371	2023
155	372	2013
156	373	2003
157	374	1993
158	374	1983
159	375	1973
160	377	1966
161	378	1957
162	379	1947
163	380	1940
164	381	1931
165	382	1922
166	383	1913
167	384	1903
168	385	1894
169	386	1885
170	387	1877
171	388	1868
172	389	1859
173	389	1850
174	390	1842
175	392	1835
176	393	1828
177	394	1821
178	395	1814
179	396	1806
180	397	1796
181	397	1788
182	399	1782
183	400	1776
184	401	1769
185	402	1761
186	403	1754
187	404	1746
188	405	1739
189	406	1731
190	407	1724
191	408	1717
192	409	1711
193	410	1705
194	411	1698
195	412	1691
196	413	1685
197	414	1679
198	415	1673
199	416	1667
200	418	1662
201	419	1655
202	420	1650
203	421	1644
204	422	1639
205	423	1633
206	424	1627
207	425	1621
208	426	1615
209	427	1609
210	428	1603
211	429	1597
212	430	1591
213	431	1584
214	432	1578
215	433	1572
216	434	1566
217	435	1563
218	437	1559
219	438	1554
220	439	1550
221	440	1545
222	442	1540
223	443	1534
224	443	1529
225	444	1523
226	445	1518
227	446	1512
228	447	1506
229	448	1501
230	449	1497
231	451	1493
232	452	1488
233	453	1484
234	454	1480
235	455	1475
236	456	1470
237	458	1466
238	459	1461
239	460	1456
240	461	1452
241	462	1447
242	463	1443
243	464	1438
244	465	1433
245	466	1428
246	467	1423
247	467	1418
248	468	1413
249	469	1409
250	471	1405
251	472	1401
252	473	1397
253	474	1392
254	475	1388
255	476	1383
256	477	1379
257	477	1374
258	478	1369
259	479	1364
260	480	1360
261	481	1356
262	482	1351
263	483	1348
264	484	1344
265	485	1340
266	487	1336
267	488	1333
268	489	1329
269	490	1325
270	491	1323
271	492	1319
272	494	1315
273	495	1312
274	496	1308
275	497	1304
276	498	1301
277	499	1298
278	501	1294
279	502	1291
280	503	1288
281	504	1284
282	505	1281
283	507	1278
284	508	1274
285	509	1271
286	510	1267
287	511	1264
288	512	1260
289	513	1257
290	514	1254
291	515	1250
292	516	1247
293	518	1244
294	519	1241
295	520	1238
296	521	1235
297	523	1232
298	524	1229
299	525	1226
300	526	1223
301	527	1220
302	528	1216
303	529	1213
304	530	1209
305	531	1205
306	532	1202
307	533	1198
308	534	1194
309	535	1191
310	536	1188
311	537	1185
312	538	1182
313	540	1179
314	541	1177
315	542	1174
316	543	1171
317	544	1168
318	546	1165
319	547	1163
320	548	1160
321	549	1157
322	550	1154
323	551	1151
324	552	1148
325	554	1145
326	555	1142
327	556	1140
328	557	1137
329	558	1134
330	559	1131
331	560	1128
332	562	1126
333	563	1123
334	564	1120
335	565	1117
336	566	1114
337	567	1111
338	568	1109
339	569	1106
340	571	1103
341	572	1101
342	573	1098
343	574	1095
344	575	1093
345	576	1090
346	577	1087
347	578	1084
348	579	1081
349	581	1079
350	581	1076
351	583	1073
352	584	1070
353	585	1068
354	586	1065
355	587	1063
356	588	1060
357	589	1058
358	591	1055
359	592	1052
360	593	1050
361	594	1048
362	595	1045
363	597	1043
364	598	1040
365	599	1038
366	600	1035
367	602	1033
368	603	1031
369	604	1029
370	605	1027
371	607	1024
372	608	1022
373	609	1019
374	610	1017
375	611	1015
376	613	1013
377	614	1010
378	615	1008
379	616	1005
380	617	1003
381	618	1000
382	619	997
383	620	995
384	621	992
385	622	989
386	623	987
387	624	984
388	625	982
389	626	980
390	627	977
391	628	975
392	629	972
393	630	970
394	631	967
395	632	964
396	633	962
397	634	959
398	635	956
399	636	954
400	637	951
401	638	949
402	639	946
403	639	944
404	640	941
405	641	938
406	643	936
407	644	934
408	645	932
409	646	930
410	647	928
411	648	925
412	649	923
413	650	921
414	651	918
415	652	916
416	653	913
417	654	911
418	655	908
419	656	906
420	657	904
421	658	901
422	659	899
423	661	898
424	662	896
425	664	895
426	666	893
427	667	891
428	668	889
429	669	887
430	671	886
431	672	884
432	674	882
433	675	881
434	677	879
435	680	879
436	681	878
437	683	876
438	684	874
439	685	872
440	687	872
441	689	870
442	690	868
443	691	866
444	692	864
445	693	861
446	694	859
447	695	857
448	696	854
449	697	853
450	699	851
451	700	849
452	701	847
453	702	845
454	703	843
455	704	840
456	705	838
457	707	836
